domain,rows,src_tokens_mean,src_tokens_p50,src_tokens_p90,tgt_tokens_mean,tgt_tokens_p50,tgt_tokens_p90,src_chars_mean,tgt_chars_mean
bible,3064,26.18,25.0,41.0,26.18,25.0,41.0,130.47,130.47
conversational,265,5.72,5.0,9.0,5.72,5.0,9.0,28.83,28.91
definition,1726,1.42,1.0,2.0,1.42,1.0,2.0,7.59,7.59
dictionary,8959,1.39,1.0,2.0,25.42,18.0,51.0,7.92,146.21
idiom,126,4.77,4.0,8.0,51.19,28.0,51.0,21.67,298.96
legal,1464,24.07,15.0,48.0,24.07,15.0,48.0,149.54,149.54
medical,308,11.64,11.0,18.0,11.64,11.0,18.0,66.46,66.46
