domain,rows,mean_cosine,p10,p25,low_flagged,low_pct
dictionary,8959,0.276828,0.10606564283370971,0.1785847395658493,6348,70.86
bible,3064,0.31458727,0.1341926008462906,0.218571487814188,1808,59.01
definition,1726,0.39607507,0.2177504301071167,0.28982678055763245,690,39.98
legal,1464,0.087806724,-0.04621690958738327,0.01666590292006731,1430,97.68
medical,308,0.2334839,-0.018588820472359657,0.06760507635772228,220,71.43
conversational,265,0.28606576,0.08780226707458497,0.15070578455924988,180,67.92
idiom,126,0.32087073,0.2039228305220604,0.2473689392209053,77,61.11
