direction,system,metric,n,mean,std
en->fj,google_translate,rougeL_p,224,0.47118477600657255,0.24857984086325086
en->fj,microsoft_translate,rougeL_p,224,0.4993574985703711,0.25923119147399953
en->fj,chatgpt,rougeL_r,224,0.2720412725536377,0.18592751222027837
en->fj,gemini,rougeL_r,223,0.49973469514698227,0.2630360581571711
en->fj,google_translate,rougeL_r,224,0.5046691215350367,0.2612288835812308
en->fj,microsoft_translate,rougeL_r,224,0.5237415126959476,0.2625163945094633
en->fj,chatgpt,ter,224,1.1686338702136836,0.8999621155079582
en->fj,gemini,ter,223,0.8196298335517384,0.6786219981551049
en->fj,google_translate,ter,224,0.9772691461112574,1.120547176051975
en->fj,microsoft_translate,ter,224,0.9011983328115669,0.9652893824901126
fj->en,chatgpt,bertscore_f1,233,0.14417517019931403,0.37801927446775563
fj->en,gemini,bertscore_f1,233,0.2889959973586891,0.44201893401206743
fj->en,google_translate,bertscore_f1,233,0.31515761460762176,0.4651843844320704
fj->en,microsoft_translate,bertscore_f1,233,0.26933325303502603,0.4369188662996809
fj->en,chatgpt,bleu,233,0.0436135847970413,0.08869586626652504
fj->en,gemini,bleu,233,0.1337341747728239,0.19047580064857408
fj->en,google_translate,bleu,233,0.15003901029699815,0.21435197003875775
fj->en,microsoft_translate,bleu,233,0.11222094219856645,0.15886627656255034
fj->en,chatgpt,bleurt,233,0.3233055549757675,0.20180797363041136
fj->en,gemini,bleurt,233,0.46050661546477945,0.24467838863666838
fj->en,google_translate,bleurt,233,0.4515246625494036,0.2595296267676435
fj->en,microsoft_translate,bleurt,233,0.4363142443509061,0.2437748466707083
fj->en,chatgpt,chrf,233,0.21832478464408958,0.18060359931652606
fj->en,gemini,chrf,233,0.38447616036731425,0.28436878767627444
fj->en,google_translate,chrf,233,0.37728159941541956,0.2821142874887155
fj->en,microsoft_translate,chrf,233,0.35341120209331905,0.25858714041205855
fj->en,chatgpt,comet,233,0.5176961769233958,0.15486008656301942
fj->en,gemini,comet,233,0.6239451987293145,0.19962072291973246
fj->en,google_translate,comet,233,0.6320543113952031,0.20333141189960774
fj->en,microsoft_translate,comet,233,0.6091334076654246,0.19798193485867913
fj->en,chatgpt,edit_dist,233,84.74678111587983,145.4086106532008
fj->en,gemini,edit_dist,233,73.38197424892704,141.289001394486
fj->en,google_translate,edit_dist,233,70.31330472103004,140.97658354033186
fj->en,microsoft_translate,edit_dist,233,73.24463519313305,140.25151446404013
fj->en,chatgpt,exact_match,233,0.004291845493562232,0.06551217820804182
fj->en,gemini,exact_match,233,0.04721030042918455,0.21254499214648015
fj->en,google_translate,exact_match,233,0.03862660944206009,0.19311824717600837
fj->en,microsoft_translate,exact_match,233,0.02145922746781116,0.14522135100367184
fj->en,chatgpt,len_ratio,233,1.175922153916509,0.9625581033683397
fj->en,gemini,len_ratio,233,1.036445403027382,0.780930007750095
fj->en,google_translate,len_ratio,233,0.9574238762750864,0.6626202379548675
fj->en,microsoft_translate,len_ratio,233,0.943737422642204,0.6477813768681475
fj->en,chatgpt,llm_adequacy,233,1.6051502145922747,0.9369655252151832
fj->en,gemini,llm_adequacy,233,2.763948497854077,1.4263788963514514
fj->en,google_translate,llm_adequacy,233,2.587982832618026,1.3684347210995884
fj->en,microsoft_translate,llm_adequacy,233,2.476394849785408,1.3165396317780658
fj->en,chatgpt,llm_error_tags,0,,
fj->en,gemini,llm_error_tags,0,,
fj->en,google_translate,llm_error_tags,0,,
fj->en,microsoft_translate,llm_error_tags,0,,
fj->en,chatgpt,llm_fluency,233,2.6394849785407724,1.117487827206371
fj->en,gemini,llm_fluency,233,3.59656652360515,1.2353926731925964
fj->en,google_translate,llm_fluency,233,3.390557939914163,1.278905828587757
fj->en,microsoft_translate,llm_fluency,233,3.313304721030043,1.266492501313288
fj->en,chatgpt,llm_overall,233,1.6351931330472103,0.9422812933592128
fj->en,gemini,llm_overall,233,2.7896995708154506,1.4213508614772885
fj->en,google_translate,llm_overall,233,2.6051502145922747,1.3672175049298456
fj->en,microsoft_translate,llm_overall,233,2.5021459227467813,1.3101870869279317
fj->en,chatgpt,llm_rationale,0,,
fj->en,gemini,llm_rationale,0,,
fj->en,google_translate,llm_rationale,0,,
fj->en,microsoft_translate,llm_rationale,0,,
fj->en,chatgpt,llm_terminology,233,2.0214592274678114,1.1350465277237216
