system,n,adequacy_1to5_mean,adequacy_1to5_std,fluency_1to5_mean,fluency_1to5_std,cohesion_discourse_optional_mean,cohesion_discourse_optional_std
chatgpt,297,3.632996632996633,1.0283098061484472,3.6094276094276094,0.977264526648724,,
gemini,278,3.7158273381294964,1.0311928526333616,3.6690647482014387,0.9828014861280471,,
google_translate,258,3.5271317829457365,1.062831687791375,3.697674418604651,1.0143304027573237,,
microsoft_translate,258,3.6705426356589146,1.1106070202497569,3.7286821705426356,1.0038985328956973,,
