auto_metric,human_metric,n,pearson_r,pearson_p,spearman_r,spearman_p
bleu_score,adequacy,27,0.6763460851224893,0.0001075406759850541,0.6846947539535413,8.166993695487991e-05
bleu_score,fluency,27,0.590207510098376,0.0011926634138997535,0.5761373887591561,0.0016605757049079155
bleu_score,cohesion,27,0.590207510098376,0.0011926634138997535,0.5761373887591561,0.0016605757049079155
chrfpp_score,adequacy,27,0.7382572170656774,1.1033120544185901e-05,0.7409193153989377,9.865822792691586e-06
chrfpp_score,fluency,27,0.9010118032490317,1.4871097757765627e-10,0.8213802430853919,1.5161769236745115e-07
chrfpp_score,cohesion,27,0.9010118032490317,1.4871097757765627e-10,0.8213802430853919,1.5161769236745115e-07
ter_score,adequacy,27,-0.46475925392964124,0.014586617263683436,-0.6791790246161155,9.804918561096298e-05
ter_score,fluency,27,-0.5164517827711903,0.005816659404692206,-0.6644794158402432,0.00015671591628267954
ter_score,cohesion,27,-0.5164517827711903,0.005816659404692206,-0.6644794158402432,0.00015671591628267954
sent_bleu_nltk,adequacy,27,0.6737531752788495,0.00011693045017420781,0.6846947539535413,8.166993695487991e-05
sent_bleu_nltk,fluency,27,0.5920142022367255,0.00114178973875712,0.5866531707442513,0.0012985012900098801
sent_bleu_nltk,cohesion,27,0.5920142022367255,0.00114178973875712,0.5866531707442513,0.0012985012900098801
