domain,system,metric,n,mean,std
bible,google_translate,ter,40,0.5254163385516218,0.2495632102593788
bible,microsoft_translate,ter,40,0.667502064678318,0.1621244859829028
conversational,chatgpt,bertscore_f1,78,0.25809498684098703,0.25957121619699147
conversational,gemini,bertscore_f1,78,0.468573960606964,0.2682230307328308
conversational,google_translate,bertscore_f1,78,0.5278806507539673,0.2723255712051945
conversational,microsoft_translate,bertscore_f1,78,0.49333445441264373,0.24455251291197558
conversational,chatgpt,bleu,78,0.07011116012508027,0.08556065233077312
conversational,gemini,bleu,78,0.2045610531308428,0.22426827987335635
conversational,google_translate,bleu,78,0.1836950366221182,0.20827837204612254
conversational,microsoft_translate,bleu,78,0.2228427295327451,0.2651712120813443
conversational,chatgpt,bleurt,78,0.4495605301971619,0.1443132057096828
conversational,gemini,bleurt,78,0.6292989456500763,0.15785617963527696
conversational,google_translate,bleurt,78,0.6381630425651869,0.1821842875894309
conversational,microsoft_translate,bleurt,78,0.6185780465602875,0.17556319542201973
conversational,chatgpt,chrf,78,0.26178465346561336,0.1554356554994139
conversational,gemini,chrf,78,0.543452745140793,0.24283081476359944
conversational,google_translate,chrf,78,0.549657866807646,0.24336531105865464
conversational,microsoft_translate,chrf,78,0.5351522622522856,0.2505829685839227
conversational,chatgpt,comet,78,0.5873653724407538,0.13044199634669928
conversational,gemini,comet,78,0.7501150732621168,0.12189253379791098
conversational,google_translate,comet,78,0.75368255453232,0.1417960838622947
conversational,microsoft_translate,comet,78,0.7429839219802465,0.13751949128792085
conversational,chatgpt,edit_dist,78,19.78205128205128,9.923928102538278
conversational,gemini,edit_dist,78,14.166666666666666,11.476024320257178
conversational,google_translate,edit_dist,78,13.102564102564102,10.424234680045757
conversational,microsoft_translate,edit_dist,78,13.217948717948717,10.67299959771949
conversational,chatgpt,exact_match,78,0.0,0.0
conversational,gemini,exact_match,78,0.05128205128205128,0.22200011100008327
conversational,google_translate,exact_match,78,0.038461538461538464,0.19355241528469097
conversational,microsoft_translate,exact_match,78,0.07692307692307693,0.2681940937606045
conversational,chatgpt,len_ratio,78,1.1017380767380767,0.28911442835668333
conversational,gemini,len_ratio,78,1.1128154253154254,0.34547740981352293
conversational,google_translate,len_ratio,78,1.094438431938432,0.2817483171279207
conversational,microsoft_translate,len_ratio,78,1.0452450327450329,0.29399285321216256
conversational,chatgpt,llm_adequacy,78,1.6923076923076923,0.7439398856403341
conversational,gemini,llm_adequacy,78,3.371794871794872,1.1964121076794278
conversational,google_translate,llm_adequacy,78,3.230769230769231,1.183469222497738
conversational,microsoft_translate,llm_adequacy,78,3.2564102564102564,1.342955622323316
conversational,chatgpt,llm_error_tags,0,,
conversational,gemini,llm_error_tags,0,,
conversational,google_translate,llm_error_tags,0,,
conversational,microsoft_translate,llm_error_tags,0,,
conversational,chatgpt,llm_fluency,78,2.717948717948718,0.8958408354896548
conversational,gemini,llm_fluency,78,4.076923076923077,0.8338493241016001
conversational,google_translate,llm_fluency,78,3.923076923076923,0.8338493241016004
conversational,microsoft_translate,llm_fluency,78,3.858974358974359,1.0157763197680538
conversational,chatgpt,llm_overall,78,1.7307692307692308,0.7327776176733548
conversational,gemini,llm_overall,78,3.371794871794872,1.1745015451049348
conversational,google_translate,llm_overall,78,3.2435897435897436,1.1530411222084966
conversational,microsoft_translate,llm_overall,78,3.2435897435897436,1.3012072060744948
conversational,chatgpt,llm_rationale,0,,
conversational,gemini,llm_rationale,0,,
conversational,google_translate,llm_rationale,0,,
conversational,microsoft_translate,llm_rationale,0,,
conversational,chatgpt,llm_terminology,78,2.1666666666666665,1.061934850970448
conversational,gemini,llm_terminology,78,3.9358974358974357,1.0486818391359696
conversational,google_translate,llm_terminology,78,3.717948717948718,1.1269708381600965
conversational,microsoft_translate,llm_terminology,78,3.641025641025641,1.268748836343746
conversational,chatgpt,meteor,78,0.2259347876969825,0.19671768104429138
conversational,gemini,meteor,78,0.5111312033037723,0.2881411471110735
conversational,google_translate,meteor,78,0.4950975547509523,0.2553491756770747
conversational,microsoft_translate,meteor,78,0.5067834632126357,0.28636260584880413
conversational,chatgpt,rouge1_f1,78,0.3184516658502442,0.19341759207274598
conversational,gemini,rouge1_f1,78,0.5729757412873672,0.24979401167731022
conversational,google_translate,rouge1_f1,78,0.5699938635143446,0.22114289727267955
conversational,microsoft_translate,rouge1_f1,78,0.5808039964337098,0.23303342854531064
conversational,chatgpt,rouge1_p,78,0.31894448144448145,0.20521368361867584
conversational,gemini,rouge1_p,78,0.5672994258967109,0.25834910474173656
conversational,google_translate,rouge1_p,78,0.5627798483567714,0.22881179491265136
conversational,microsoft_translate,rouge1_p,78,0.5811735984812908,0.2390587578235702
conversational,chatgpt,rouge1_r,78,0.33273855773855776,0.20750736560432864
conversational,gemini,rouge1_r,78,0.6036708661708661,0.26815458536360665
conversational,google_translate,rouge1_r,78,0.5954152329152329,0.22901645644394203
conversational,microsoft_translate,rouge1_r,78,0.5972004847004847,0.24279105032621157
conversational,chatgpt,rouge2_f1,78,0.08006925146422644,0.14477239321380597
conversational,gemini,rouge2_f1,78,0.33529137910240553,0.3109052379671606
conversational,google_translate,rouge2_f1,78,0.29655318568607963,0.2697466248774408
conversational,microsoft_translate,rouge2_f1,78,0.32278616420316825,0.29545005266033175
conversational,chatgpt,rouge2_p,78,0.07651700151700151,0.13812729575691435
conversational,gemini,rouge2_p,78,0.33206376956376954,0.3188648370584266
conversational,google_translate,rouge2_p,78,0.2881078323386016,0.27044977545173804
conversational,microsoft_translate,rouge2_p,78,0.31835571835571835,0.29576452671498055
conversational,chatgpt,rouge2_r,78,0.08619759869759869,0.15666261486186622
conversational,gemini,rouge2_r,78,0.35570309320309323,0.32271556676357155
conversational,google_translate,rouge2_r,78,0.3119255744255744,0.27427645245799326
conversational,microsoft_translate,rouge2_r,78,0.3333643208643209,0.2990880479617141
conversational,chatgpt,rougeL_f1,78,0.3068158432832475,0.19405492837216903
conversational,gemini,rougeL_f1,78,0.5587102347141683,0.24932696055694206
conversational,google_translate,rougeL_f1,78,0.5436897073316459,0.22269609188856385
conversational,microsoft_translate,rougeL_f1,78,0.5581972730916923,0.23633183138978187
