domain,direction,system,metric,n,mean,std
bible,en->fj,google_translate,rougeL_f1,20,0.5446574384140116,0.11328315678729148
bible,en->fj,microsoft_translate,rougeL_f1,20,0.5256082542445201,0.11797714019593215
bible,en->fj,chatgpt,rougeL_p,20,0.2945771867700595,0.10425586037400142
bible,en->fj,gemini,rougeL_p,20,0.466456605066581,0.14989126356812588
bible,en->fj,google_translate,rougeL_p,20,0.5292492359497663,0.1143435780018866
bible,en->fj,microsoft_translate,rougeL_p,20,0.5252473819614751,0.12658279832399846
bible,en->fj,chatgpt,rougeL_r,20,0.2918016326084876,0.09835601073742734
bible,en->fj,gemini,rougeL_r,20,0.4883206635211382,0.15818829196468778
bible,en->fj,google_translate,rougeL_r,20,0.5638325368854009,0.11941930714290604
bible,en->fj,microsoft_translate,rougeL_r,20,0.5285902445291206,0.11272426830013792
bible,en->fj,chatgpt,ter,20,0.8940169274049694,0.1860820877113683
bible,en->fj,gemini,ter,20,0.727223947246603,0.2203867878318847
bible,en->fj,google_translate,ter,20,0.6617757889966036,0.1467144240587985
bible,en->fj,microsoft_translate,ter,20,0.6449925189878395,0.16976595806666728
bible,fj->en,chatgpt,bertscore_f1,20,0.2484955321066081,0.17018488639541451
bible,fj->en,gemini,bertscore_f1,20,0.5219975270330905,0.14409207564084234
bible,fj->en,google_translate,bertscore_f1,20,0.6573882311582565,0.15416388223903782
bible,fj->en,microsoft_translate,bertscore_f1,20,0.4782949611544609,0.1394894479304165
bible,fj->en,chatgpt,bleu,20,0.06762174078572755,0.08670281958278218
bible,fj->en,gemini,bleu,20,0.2625618732101117,0.2564461486543476
bible,fj->en,google_translate,bleu,20,0.523970204097964,0.304680742195088
bible,fj->en,microsoft_translate,bleu,20,0.17958754032016666,0.1283312410363227
bible,fj->en,chatgpt,bleurt,20,0.37057278305292124,0.08424749171094224
bible,fj->en,gemini,bleurt,20,0.5390278786420822,0.11074277391913745
bible,fj->en,google_translate,bleurt,20,0.5810813680291176,0.12868465209322955
bible,fj->en,microsoft_translate,bleurt,20,0.47422862946987154,0.08694657243826598
bible,fj->en,chatgpt,chrf,20,0.301856862859278,0.0928231320238017
bible,fj->en,gemini,chrf,20,0.5086972516479391,0.19404922110792328
bible,fj->en,google_translate,chrf,20,0.690952443783052,0.20428884346520174
bible,fj->en,microsoft_translate,chrf,20,0.4598520137747748,0.09537861336233713
bible,fj->en,chatgpt,comet,20,0.5218308970332146,0.09227381419792437
bible,fj->en,gemini,comet,20,0.6487507030367852,0.08666210568879752
bible,fj->en,google_translate,comet,20,0.7115402698516846,0.07830060967479806
bible,fj->en,microsoft_translate,comet,20,0.6340941861271858,0.09022709332132413
bible,fj->en,chatgpt,edit_dist,20,87.4,28.843315379915378
bible,fj->en,gemini,edit_dist,20,57.55,29.152006340631353
bible,fj->en,google_translate,edit_dist,20,35.65,25.23630425857913
bible,fj->en,microsoft_translate,edit_dist,20,64.1,24.017318312987577
bible,fj->en,chatgpt,exact_match,20,0.0,0.0
bible,fj->en,gemini,exact_match,20,0.0,0.0
bible,fj->en,google_translate,exact_match,20,0.1,0.3077935056255462
bible,fj->en,microsoft_translate,exact_match,20,0.0,0.0
bible,fj->en,chatgpt,len_ratio,20,0.9723062844394696,0.2242167482378008
bible,fj->en,gemini,len_ratio,20,0.899752368328462,0.16527486088627272
bible,fj->en,google_translate,len_ratio,20,0.9220140467800917,0.1711387818334281
bible,fj->en,microsoft_translate,len_ratio,20,0.9211638156092417,0.20220098041872
bible,fj->en,chatgpt,llm_adequacy,20,1.95,1.0990426455975697
bible,fj->en,gemini,llm_adequacy,20,3.8,1.1516578439248717
bible,fj->en,google_translate,llm_adequacy,20,3.85,1.1367080817685318
bible,fj->en,microsoft_translate,llm_adequacy,20,3.15,0.7451598203705946
bible,fj->en,chatgpt,llm_error_tags,0,,
bible,fj->en,gemini,llm_error_tags,0,,
bible,fj->en,google_translate,llm_error_tags,0,,
bible,fj->en,microsoft_translate,llm_error_tags,0,,
bible,fj->en,chatgpt,llm_fluency,20,3.1,1.020835571068081
bible,fj->en,gemini,llm_fluency,20,4.4,0.6805570473787206
bible,fj->en,google_translate,llm_fluency,20,4.3,0.6569466853317862
bible,fj->en,microsoft_translate,llm_fluency,20,3.95,0.6048053188292994
bible,fj->en,chatgpt,llm_overall,20,1.95,1.0990426455975697
bible,fj->en,gemini,llm_overall,20,3.85,1.0894228312566052
bible,fj->en,google_translate,llm_overall,20,3.85,1.1367080817685318
bible,fj->en,microsoft_translate,llm_overall,20,3.1,0.7181848464596078
bible,fj->en,chatgpt,llm_rationale,0,,
bible,fj->en,gemini,llm_rationale,0,,
bible,fj->en,google_translate,llm_rationale,0,,
bible,fj->en,microsoft_translate,llm_rationale,0,,
bible,fj->en,chatgpt,llm_terminology,20,2.5,1.1470786693528088
bible,fj->en,gemini,llm_terminology,20,4.35,0.9333020044867296
bible,fj->en,google_translate,llm_terminology,20,4.5,0.6882472016116853
bible,fj->en,microsoft_translate,llm_terminology,20,3.6,0.99472291830968
bible,fj->en,chatgpt,meteor,20,0.2568800429375454,0.1560990753803396
bible,fj->en,gemini,meteor,20,0.5217278157692251,0.21811562626976244
bible,fj->en,google_translate,meteor,20,0.6943902407827893,0.24554458607176338
bible,fj->en,microsoft_translate,meteor,20,0.461555585873172,0.16189543951958307
bible,fj->en,chatgpt,rouge1_f1,20,0.33284415446878135,0.14394462329556276
bible,fj->en,gemini,rouge1_f1,20,0.6011092291188975,0.19213015417740206
bible,fj->en,google_translate,rouge1_f1,20,0.7558650419128136,0.1899565693669691
bible,fj->en,microsoft_translate,rouge1_f1,20,0.5544079504442051,0.11019331720278723
bible,fj->en,chatgpt,rouge1_p,20,0.3492576139594727,0.1499060451523489
bible,fj->en,gemini,rouge1_p,20,0.6425328079442169,0.19987937096580086
bible,fj->en,google_translate,rouge1_p,20,0.7948465670375341,0.1916640989676467
bible,fj->en,microsoft_translate,rouge1_p,20,0.590253040626137,0.13549384105088025
bible,fj->en,chatgpt,rouge1_r,20,0.32519701992329275,0.1505015201121134
bible,fj->en,gemini,rouge1_r,20,0.5739914968152299,0.20021867437852964
bible,fj->en,google_translate,rouge1_r,20,0.7317310212030372,0.2068654346502449
bible,fj->en,microsoft_translate,rouge1_r,20,0.5333297010944333,0.11825635214764058
bible,fj->en,chatgpt,rouge2_f1,20,0.11987859160927425,0.1111448980446321
bible,fj->en,gemini,rouge2_f1,20,0.3697869160349824,0.2552210683661354
bible,fj->en,google_translate,rouge2_f1,20,0.6130752508156663,0.2744250549989467
bible,fj->en,microsoft_translate,rouge2_f1,20,0.28060319826630653,0.1278274947097677
bible,fj->en,chatgpt,rouge2_p,20,0.1252916511732301,0.11425574046732379
bible,fj->en,gemini,rouge2_p,20,0.3964060256613139,0.26247613836985556
bible,fj->en,google_translate,rouge2_p,20,0.6474503364674989,0.28030167749247714
bible,fj->en,microsoft_translate,rouge2_p,20,0.3019975773712655,0.14758406312579064
bible,fj->en,chatgpt,rouge2_r,20,0.1172709883250687,0.11102859633500428
bible,fj->en,gemini,rouge2_r,20,0.35321991201047265,0.25750418193272917
bible,fj->en,google_translate,rouge2_r,20,0.592032699792574,0.2805729508305307
bible,fj->en,microsoft_translate,rouge2_r,20,0.26734392413024993,0.11987119015491131
bible,fj->en,chatgpt,rougeL_f1,20,0.29421689438565785,0.14088553861848782
bible,fj->en,gemini,rougeL_f1,20,0.5653176164552276,0.20071302348021663
bible,fj->en,google_translate,rougeL_f1,20,0.7322373458712406,0.20492422490910547
bible,fj->en,microsoft_translate,rougeL_f1,20,0.5044462536048568,0.11392525206501661
bible,fj->en,chatgpt,rougeL_p,20,0.30935060396503505,0.14592722170846498
bible,fj->en,gemini,rougeL_p,20,0.6037928355115263,0.20752115386771416
bible,fj->en,google_translate,rougeL_p,20,0.7701289811160141,0.20804148959171448
bible,fj->en,microsoft_translate,rougeL_p,20,0.5366762491510874,0.1351822839263393
bible,fj->en,chatgpt,rougeL_r,20,0.2865517327331201,0.1445362299589323
bible,fj->en,gemini,rougeL_r,20,0.5402294280619684,0.20803516197977706
bible,fj->en,google_translate,rougeL_r,20,0.708843288780421,0.21921502201672072
bible,fj->en,microsoft_translate,rougeL_r,20,0.48518959745785856,0.11729038000206195
bible,fj->en,chatgpt,ter,20,0.8883907713095927,0.17943821729529907
bible,fj->en,gemini,ter,20,0.5837460310490363,0.20284720086952746
bible,fj->en,google_translate,ter,20,0.38905688810664,0.2591744717515513
bible,fj->en,microsoft_translate,ter,20,0.6900116103687964,0.15512868911061048
conversational,en->fj,chatgpt,bertscore_f1,41,0.14953695950893364,0.2338534405130893
conversational,en->fj,gemini,bertscore_f1,41,0.3602841777454425,0.2383454793177179
conversational,en->fj,google_translate,bertscore_f1,41,0.43756863270409224,0.25020655545345755
conversational,en->fj,microsoft_translate,bertscore_f1,41,0.45468874966225975,0.22820145539082876
conversational,en->fj,chatgpt,bleu,41,0.06494784149229856,0.042973132109909974
conversational,en->fj,gemini,bleu,41,0.17403292483677224,0.16159220089333137
conversational,en->fj,google_translate,bleu,41,0.191615254867869,0.1866390863959389
conversational,en->fj,microsoft_translate,bleu,41,0.2818973798564721,0.2848837620716036
conversational,en->fj,chatgpt,bleurt,41,0.48656671875860635,0.1119845635773088
conversational,en->fj,gemini,bleurt,41,0.6089997640470179,0.13437968585973759
conversational,en->fj,google_translate,bleurt,41,0.647074571469935,0.1561635592697405
conversational,en->fj,microsoft_translate,bleurt,41,0.6348130572132948,0.1496305732358943
conversational,en->fj,chatgpt,chrf,41,0.26669439116067206,0.14121249541836486
conversational,en->fj,gemini,chrf,41,0.5509782490354153,0.204364096995317
conversational,en->fj,google_translate,chrf,41,0.6135754053039566,0.23366370838539846
conversational,en->fj,microsoft_translate,chrf,41,0.6202848308928088,0.22392129702291982
conversational,en->fj,chatgpt,comet,41,0.6073221607906062,0.10686098723995041
conversational,en->fj,gemini,comet,41,0.737402097481053,0.09904583542110477
conversational,en->fj,google_translate,comet,41,0.7465965064560495,0.11483714526703033
conversational,en->fj,microsoft_translate,comet,41,0.7592551708221436,0.10731326282969504
conversational,en->fj,chatgpt,edit_dist,41,18.365853658536587,8.74573066576194
conversational,en->fj,gemini,edit_dist,41,13.975609756097562,9.511802681085348
conversational,en->fj,google_translate,edit_dist,41,13.0,9.66695401871758
conversational,en->fj,microsoft_translate,edit_dist,41,12.658536585365853,9.903559350298158
conversational,en->fj,chatgpt,exact_match,41,0.0,0.0
conversational,en->fj,gemini,exact_match,41,0.0,0.0
conversational,en->fj,google_translate,exact_match,41,0.024390243902439025,0.15617376188860604
conversational,en->fj,microsoft_translate,exact_match,41,0.0975609756097561,0.30040622902833486
conversational,en->fj,chatgpt,len_ratio,41,1.0725002639636785,0.28393510446703285
conversational,en->fj,gemini,len_ratio,41,1.1002534051314539,0.36554065565249577
conversational,en->fj,google_translate,len_ratio,41,1.1485394009784253,0.31045936272874486
conversational,en->fj,microsoft_translate,len_ratio,41,1.1393798613310808,0.3137912562243502
conversational,en->fj,chatgpt,llm_adequacy,41,1.975609756097561,0.6887599319809763
conversational,en->fj,gemini,llm_adequacy,41,3.4634146341463414,1.0511317942011305
conversational,en->fj,google_translate,llm_adequacy,41,3.6097560975609757,0.9186416270909948
conversational,en->fj,microsoft_translate,llm_adequacy,41,3.8048780487804876,1.0054728289496924
conversational,en->fj,chatgpt,llm_error_tags,0,,
conversational,en->fj,gemini,llm_error_tags,0,,
conversational,en->fj,google_translate,llm_error_tags,0,,
conversational,en->fj,microsoft_translate,llm_error_tags,0,,
conversational,en->fj,chatgpt,llm_fluency,41,2.8536585365853657,0.7924952873599975
conversational,en->fj,gemini,llm_fluency,41,4.0,0.7071067811865476
conversational,en->fj,google_translate,llm_fluency,41,4.024390243902439,0.6887599319809766
conversational,en->fj,microsoft_translate,llm_fluency,41,4.121951219512195,0.7808688094430305
conversational,en->fj,chatgpt,llm_overall,41,2.0,0.670820393249937
conversational,en->fj,gemini,llm_overall,41,3.4634146341463414,1.002436057202896
conversational,en->fj,google_translate,llm_overall,41,3.5853658536585367,0.8937452029548903
conversational,en->fj,microsoft_translate,llm_overall,41,3.731707317073171,0.975304830396693
conversational,en->fj,chatgpt,llm_rationale,0,,
conversational,en->fj,gemini,llm_rationale,0,,
conversational,en->fj,google_translate,llm_rationale,0,,
conversational,en->fj,microsoft_translate,llm_rationale,0,,
conversational,en->fj,chatgpt,llm_terminology,41,2.292682926829268,0.9809154509697661
conversational,en->fj,gemini,llm_terminology,41,4.0,0.9219544457292888
conversational,en->fj,google_translate,llm_terminology,41,4.0,0.9219544457292889
conversational,en->fj,microsoft_translate,llm_terminology,41,4.073170731707317,0.984638103630949
