auto_metric,human_metric,correlation,p_value,n
bleu,fluency,0.658337545832931,6.389599644032281e-227,1823
bleu,adequacy,0.6973233391682883,1.1481862303703226e-265,1823
chrf,fluency,0.7166744665391999,2.5450607561618272e-287,1823
chrf,adequacy,0.7771185631150477,0.0,1823
ter,fluency,-0.5729722408246808,1.4385183282943112e-159,1823
ter,adequacy,-0.5914562046002085,1.8458263162537474e-172,1823
comet,fluency,0.7253032906770663,1.4225147732728033e-297,1823
comet,adequacy,0.7229504807822291,9.711659825909288e-295,1823
