system,bleu_mean,bleu_std,bleu_count,chrf_mean,chrf_std,chrf_count,ter_mean,ter_std,ter_count,comet_mean,comet_std,comet_count,fluency_mean,fluency_std,fluency_count,adequacy_mean,adequacy_std,adequacy_count
chatgpt,0.0436672081168543,0.07157944522004776,457,0.2346871579600082,0.15564589338984974,457,1.1975426508629183,0.8794340112617007,457,0.55474014893272,0.1355422702319667,457,2.737417943107221,0.9556963948154793,457,1.785557986870897,0.8468008459000212,457
gemini,0.1422175572978983,0.16979115158332664,457,0.4425892796193374,0.2616572422805455,457,0.8729512542948539,0.6823520354064924,456,0.6639682896958109,0.17033295289738615,456,3.745614035087719,1.042494080485132,456,3.0482456140350878,1.269194255511141,456
google,0.15810821722315316,0.1900237778666326,457,0.4421921280571264,0.26354002258219666,457,0.9137943616373313,0.8873842515963598,457,0.6651032043364168,0.1710823499001725,457,3.615894039735099,1.067589256505511,453,2.944812362030905,1.229810681389307,453
microsoft,0.1500818760204646,0.18227037164977258,457,0.43778041838415593,0.2554197074372409,457,0.8927436944919598,0.7816795208924566,457,0.6549519879877959,0.17216701452263872,457,3.6061269146608317,1.0771783769586036,457,2.964989059080963,1.2560728141129867,457
